a1000,Amiga 1000 
a1000kbd_de,Amiga 1000 Keyboard 
a1000kbd_dk,Amiga 1000 Keyboard 
a1000kbd_fr,Amiga 1000 Keyboard 
a1000kbd_gb,Amiga 1000 Keyboard 
a1000kbd_it,Amiga 1000 Keyboard 
a1000kbd_se,Amiga 1000 Keyboard 
a1000n,Amiga 1000 
a1010,Textel Compact A1010-0 
a1200,Amiga 1200 
a1200n,Amiga 1200 
a1200xl,Atari 1200XL 
a130xe,Atari 130XE 
a2000,Amiga 2000 
a2000kbd_ch,Amiga 2000/3000/4000 Keyboard 
a2000kbd_de,Amiga 2000/3000/4000 Keyboard 
a2000kbd_dk,Amiga 2000/3000/4000 Keyboard 
a2000kbd_es,Amiga 2000/3000/4000 Keyboard 
a2000kbd_fr,Amiga 2000/3000/4000 Keyboard 
a2000kbd_g80_de,Amiga 2000 Keyboard 
a2000kbd_g80_dk,Amiga 2000 Keyboard 
a2000kbd_g80_gb,Amiga 2000 Keyboard 
a2000kbd_g80_se,Amiga 2000 Keyboard 
a2000kbd_gb,Amiga 2000/3000/4000 Keyboard 
a2000kbd_it,Amiga 2000/3000/4000 Keyboard 
a2000kbd_no,Amiga 2000/3000/4000 Keyboard 
a2000kbd_se,Amiga 2000/3000/4000 Keyboard 
a2000n,Amiga 2000 
a2600,Atari 2600 
a2600_pop,Atari 2600 Point of Purchase Display 
a2600p,Atari 2600 
a2bufgrapplerplusa,Orange Micro Buffered Grappler+ Printer Interface 
a2q68plus,Stellation Two Q-68 Plus 
a3000,Amiga 3000 
a3000n,Amiga 3000 
a400,Atari 400 
a4000,Amiga 4000/040 
a400030,Amiga 4000/030 
a400030n,Amiga 4000/030 
a4000n,Amiga 4000/040 
a4000t,Amiga 4000T 
a4000tn,Amiga 4000T 
a400pal,Atari 400 
a433cc,A433C-C/A450C-C 
a486ap4,PVI-486AP4 
a486isa,ISA-486 
a486sio,ISA-486SIO 
a486sp3,PVI-486SP3 
a486sp3g,PCI/I-486SP3G 
a486sv1,VL/EISA-486SV1 
a486sv2,ISA-486SV2 
